VFID	query	vf_category
VF0465	VFG038042(gb|YP_005796980)	Immune modulation
VF0465	VFG038043(gb|WP_001225664)	Immune modulation
VF0465	VFG038044(gb|WP_000723999)	Immune modulation
VF0465	VFG038045(gb|WP_000697856)	Immune modulation
VF0465	VFG038046(gb|WP_000872584)	Immune modulation
VF0465	VFG038047(gb|WP_000994240)	Immune modulation
VF0465	VFG038048(gb|YP_001083159)	Immune modulation
VF0465	VFG038050(gb|WP_000935239)	Immune modulation
VF0465	VFG038051(gb|WP_020752681)	Immune modulation
VF0465	VFG038052(gb|WP_001280913)	Immune modulation
VF0465	VFG038055(gb|WP_000866951)	Immune modulation
VF0465	VFG038056(gb|WP_001023212)	Immune modulation
VF0465	VFG038057(gb|YP_005796981)	Immune modulation
VF0465	VFG038058(gb|WP_000878630)	Immune modulation
VF0465	VFG038060(gb|WP_000262379)	Immune modulation
VF0465	VFG038061(gb|WP_001159771)	Immune modulation
VF0465	VFG038062(gb|WP_000515955)	Immune modulation
VF0465	VFG038063(gb|YP_001083160)	Immune modulation
VF0465	VFG038065(gb|WP_000713593)	Immune modulation
